{
  (479, 6, 14, 10),
  (630, 3, 2, 3),
  (968, 2, 3, 3),
  (384, 1, 4, 5),
  (636, 0, 10, 9),
  (485, 0, 163, 183),
  (377, 0, 4, 4)],
 'pixil-frame-0(4).png': [(209, 725, 3, 3),
  (771, 690, 9, 8),
  (698, 687, 5, 5),
  (194, 687, 2, 3),
  (824, 686, 5, 4),
  (265, 652, 4, 5),
  (95, 639, 2, 3),
  (498, 625, 5, 4),
  (418, 623, 84, 77),
  (520, 610, 176, 133),
  (136, 608, 2, 2),
  (704, 599, 6, 6),
  (828, 591, 13, 12),
  (792, 583, 6, 3),
  (973, 581, 4, 6),
  (398, 569, 5, 4),
  (838, 551, 7, 7),
  (954, 525, 3, 5),
  (475, 523, 2, 2),
  (124, 518, 3, 2),
  (752, 483, 7, 10),
  (343, 453, 6, 7),
  (395, 430, 3, 3),
  (541, 428, 16, 14),
  (343, 399, 11, 12),
  (803, 372, 6, 9),
  (333, 372, 3, 2),
  (431, 369, 35, 38),
  (850, 367, 2, 2),
  (70, 358, 3, 5),
  (132, 367, 143, 145),
  (13, 352, 4, 3),
  (888, 351, 66, 71),
  (26, 334, 4, 5),
  (990, 287, 10, 7),
  (914, 230, 12, 12),
  (912, 205, 13, 12),
  (412, 205, 2, 3),
  (879, 199, 5, 2),
  (247, 180, 5, 6),
  (846, 179, 3, 4),
  (27, 179, 174, 146),
  (637, 175, 2, 2),
  (342, 170, 2, 2),
  (893, 151, 3, 4),
  (711, 144, 5, 4),
  (886, 132, 2, 2),
  (364, 127, 4, 3),
  (946, 125, 4, 5),
  (802, 114, 5, 5),
  (27, 102, 4, 4),
  (18, 92, 4, 3),
  (59, 84, 2, 4)],
 'pixil-frame-0(3).png': [(250, 741, 5, 5),
  (710, 737, 4, 4),
  (543, 724, 4, 3),
  (759, 721, 5, 6),
  (956, 718, 3, 3),
  (745, 715, 7, 6),
  (102, 713, 6, 5),
  (241, 706, 4, 4),
  (218, 700, 6, 5),
  (721, 697, 3, 4),
  (809, 691, 27, 33),
  (706, 689, 9, 7),
  (843, 678, 2, 3),
  (558, 676, 4, 5),
  (846, 665, 5, 6),
  (320, 665, 5, 4),
  (287, 623, 4, 7),
  (706, 619, 14, 14),
  (691, 616, 4, 6),
  (710, 604, 27, 25),
  (729, 601, 4, 5),
  (705, 600, 4, 4),
  (333, 600, 7, 8),
  (346, 595, 8, 7),
  (27, 594, 16, 14),
  (735, 591, 10, 11),
  (32, 580, 2, 2),
  (367, 576, 164, 139),
  (742, 543, 5, 5),
  (854, 520, 2, 2),
  (942, 507, 6, 4),
  (117, 502, 12, 13),
  (99, 480, 3, 4),
  (777, 472, 3, 3),
  (764, 443, 4, 4),
  (701, 439, 4, 2),
  (541, 428, 14, 13),
  (721, 367, 3, 2),
  (847, 358, 3, 2),
  (693, 358, 5, 6),
  (652, 323, 2, 2),
  (169, 326, 66, 85),
  (689, 304, 5, 5),
  (707, 274, 5, 4),
  (104, 226, 2, 3),
  (338, 215, 3, 3),
  (358, 213, 4, 3),
  (354, 208, 6, 5),
  (348, 202, 3, 4),
  (320, 178, 4, 3),
  (17, 157, 3, 3),
  (878, 123, 6, 6),
  (868, 120, 4, 4),
  (141, 118, 74, 104),
  (801, 114, 6, 5),
  (754, 92, 2, 2),
  (523, 85, 4, 4),
  (550, 70, 2, 5),
  (802, 56, 3, 4),
  (817, 50, 15, 19),
  (248, 44, 7, 5),
  (83, 37, 4, 4),
  (606, 22, 5, 4),
  (503, 18, 5, 7),
  (615, 15, 7, 7),
  (520, 6, 7, 6),
  (649, 4, 4, 6)],
 'pixil-frame-0(2).png': [(194, 746, 5, 4),
  (998, 735, 2, 4),
  (122, 731, 13, 13),
  (297, 717, 2, 2),
  (898, 705, 4, 4),
  (683, 694, 4, 3),
  (770, 689, 9, 8),
  (545, 681, 6, 7),
  (661, 655, 4, 3),
  (852, 651, 4, 4),
  (14, 632, 48, 29),
  (762, 612, 4, 5),
  (600, 601, 11, 9),
  (646, 573, 7, 9),
  (0, 554, 5, 4),
  (788, 553, 6, 4),
  (838, 550, 8, 8),
  (662, 550, 92, 96),
  (983, 519, 16, 12),
  (811, 516, 4, 4),
  (191, 512, 8, 8),
  (801, 501, 3, 4),
  (804, 488, 7, 7),
  (202, 486, 2, 2),
  (247, 484, 150, 165),
  (323, 470, 16, 12),
  (350, 467, 3, 3),
  (171, 450, 5, 5),
  (830, 429, 8, 7),
  (902, 385, 4, 5),
  (467, 376, 5, 5),
  (324, 372, 3, 3),
  (442, 366, 6, 6),
  (649, 361, 91, 78),
  (427, 357, 4, 4),
  (205, 353, 109, 77),
  (440, 336, 2, 2),
  (412, 326, 4, 3),
  (419, 325, 10, 12),
  (408, 310, 6, 5),
  (866, 302, 20, 15),
  (951, 287, 4, 4),
  (989, 280, 3, 3),
  (645, 246, 3, 2),
  (279, 239, 4, 3),
  (337, 236, 2, 2),
  (126, 222, 73, 81),
  (31, 215, 9, 8),
  (845, 214, 4, 3),
  (851, 211, 3, 2),
  (317, 190, 4, 4),
  (519, 154, 4, 4),
  (763, 70, 4, 5),
  (727, 0, 228, 213),
  (723, 0, 5, 4)],
 'pixil-frame-0.png': [(45, 734, 2, 4),
  (125, 733, 9, 8),
  (707, 690, 6, 6),
  (441, 662, 3, 2),
  (49, 635, 5, 3),
  (732, 632, 2, 3),
  (690, 616, 5, 6),
  (761, 612, 6, 5),
  (705, 600, 4, 4),
  (768, 596, 4, 3),
  (735, 591, 10, 12),
  (15, 586, 22, 20),
  (837, 551, 8, 7),
  (795, 542, 5, 5),
  (900, 458, 4, 3),
  (541, 427, 15, 15),
  (338, 400, 14, 12),
  (321, 375, 6, 8),
  (198, 309, 2, 2),
  (170, 271, 8, 10),
  (122, 230, 2, 4),
  (412, 227, 5, 4),
  (0, 228, 201, 174),
  (33, 215, 5, 6),
  (225, 195, 3, 4),
  (88, 118, 8, 7),
  (801, 113, 6, 6),
  (0, 113, 29, 52),
  (65, 101, 4, 3),
  (972, 90, 6, 6),
  (89, 76, 4, 4),
  (58, 70, 3, 2),
  (760, 66, 10, 12),
  (12, 54, 3, 3),
  (801, 39, 8, 8),
  (34, 39, 5, 4),
  (158, 27, 152, 176),
  (945, 16, 15, 10),
  (246, 9, 4, 4),
  (346, 5, 4, 5),
  (455, 1, 51, 48),
  (959, 0, 4, 5),
  (404, 0, 4, 3)],
 'pixil-frame-0(1).png': [(124, 732, 11, 10),
  (707, 690, 7, 6),
  (770, 686, 10, 13),
  (801, 676, 4, 5),
  (967, 674, 2, 4),
  (995, 664, 5, 6),
  (852, 650, 4, 5),
  (607, 648, 2, 4),
  (748, 642, 5, 3),
  (32, 624, 6, 6),
  (690, 616, 5, 6),
  (761, 612, 6, 5),
  (705, 599, 4, 5),
  (713, 582, 4, 3),
  (218, 564, 3, 2),
  (711, 549, 15, 16),
  (78, 494, 8, 6),
  (75, 466, 3, 4),
  (101, 447, 3, 2),
  (250, 446, 15, 15),
  (687, 437, 7, 7),
  (452, 436, 51, 54),
  (541, 428, 14, 13),
  (334, 421, 4, 3),
  (339, 403, 11, 7),
  (15, 400, 4, 6),
  (164, 393, 6, 8),
  (399, 389, 6, 6),
  (564, 370, 5, 6),
  (973, 367, 16, 14),
  (349, 347, 10, 8),
  (415, 339, 4, 4),
  (993, 287, 7, 14),
  (377, 277, 4, 2),
  (0, 263, 5, 6),
  (4, 253, 4, 6),
  (15, 242, 3, 6),
  (620, 237, 2, 2),
  (345, 232, 5, 5),
  (6, 210, 3, 2),
  (619, 189, 2, 3),
  (864, 188, 3, 4),
  (913, 177, 3, 4),
  (937, 150, 5, 2),
  (633, 84, 10, 8),
  (196, 57, 2, 2),
  (0, 40, 5, 5),
  (36, 38, 8, 8),
  (557, 20, 48, 69)],
 'pixil-frame-0(7).png': [(714, 748, 2, 2),
  (68, 738, 6, 6),
  (125, 731, 8, 9),
  (69, 692, 5, 4),
  (61, 691, 3, 3),
  (707, 690, 7, 6),
  (645, 674, 2, 2),
  (505, 641, 6, 6),
  (462, 639, 4, 5),
  (738, 623, 4, 4),
  (191, 620, 3, 4),
  (416, 618, 2, 2),
  (544, 600, 6, 6),
  (704, 599, 5, 6),
  (566, 609, 78, 65),
  (570, 583, 14, 11),
  (229, 580, 2, 2),
  (826, 577, 6, 5),
  (690, 575, 2, 2),
  (217, 564, 21, 14),
  (202, 560, 4, 4),
  (679, 559, 4, 6),
  (227, 552, 3, 3),
  (279, 538, 4, 5),
  (914, 522, 6, 6),
  (811, 515, 5, 5),
  (801, 501, 3, 5),
  (359, 498, 3, 4),
  (245, 475, 9, 12),
  (14, 451, 149, 160),
  (532, 448, 6, 5),
  (810, 447, 3, 3),
  (373, 438, 4, 5),
  (810, 435, 4, 4),
  (542, 429, 11, 11),
  (511, 425, 2, 2),
  (156, 422, 9, 8),
  (880, 375, 4, 3),
  (252, 343, 2, 3),
  (668, 337, 5, 6),
  (697, 332, 3, 3),
  (739, 320, 9, 7),
  (655, 317, 12, 10),
  (965, 285, 2, 2),
  (102, 279, 4, 5),
  (968, 275, 3, 3),
  (466, 271, 4, 2),
  (579, 254, 12, 20),
  (31, 210, 12, 16),
  (134, 204, 4, 5),
  (888, 167, 5, 7),
  (33, 158, 3, 2),
  (34, 155, 2, 2),
  (669, 149, 145, 131),
  (86, 142, 3, 3),
  (442, 119, 2, 2),
  (747, 50, 2, 2),
  (374, 45, 3, 3),
  (24, 28, 4, 4),
  (936, 0, 9, 8),
  (431, 0, 91, 54)],
 'pixil-frame-0(6).png': [(610, 729, 4, 3),
  (172, 712, 4, 3),
  (773, 692, 2, 3),
  (708, 691, 5, 4),
  (661, 685, 2, 2),
  (745, 670, 6, 6),
  (735, 640, 7, 7),
  (610, 634, 2, 2),
  (821, 629, 179, 121),
  (690, 616, 6, 6),
  (761, 612, 6, 5),
  (795, 606, 4, 4),
  (765, 594, 2, 2),
  (739, 563, 5, 6),
  (717, 554, 10, 10),
  (838, 551, 7, 7),
  (678, 541, 6, 4),
  (512, 527, 6, 7),
  (628, 525, 7, 8),
  (460, 519, 3, 4),
  (649, 515, 15, 17),
  (661, 509, 3, 5),
  (464, 507, 15, 16),
  (811, 453, 3, 4),
  (798, 450, 4, 4),
  (542, 428, 13, 13),
  (734, 409, 3, 3),
  (342, 404, 7, 5),
  (965, 397, 3, 2),
  (807, 319, 51, 61),
  (0, 293, 234, 305),
  (392, 279, 6, 6),
  (259, 258, 2, 3),
  (743, 237, 5, 4),
  (407, 220, 6, 6),
  (33, 215, 5, 6),
  (39, 186, 9, 10),
  (514, 177, 10, 10),
  (215, 92, 4, 3),
  (633, 28, 190, 177),
  (501, 4, 7, 6)]}
}
